word,tfidf_score
行者,0.48686449556014766
拿,0.24343224778007383
得,0.24343224778007383
那怪,0.24343224778007383
老,0.18257418583505539
八戒,0.18257418583505539
不是,0.18257418583505539
問道,0.18257418583505539
三藏,0.18257418583505539
聖僧,0.12171612389003691
今日,0.12171612389003691
住,0.12171612389003691
被,0.12171612389003691
大喜,0.12171612389003691
打,0.12171612389003691
請,0.12171612389003691
走,0.12171612389003691
老孫,0.12171612389003691
起,0.12171612389003691
認得,0.12171612389003691
鈀,0.12171612389003691
棒,0.12171612389003691
笑,0.12171612389003691
做,0.06085806194501846
做個,0.06085806194501846
們,0.06085806194501846
兒,0.06085806194501846
知,0.06085806194501846
像,0.06085806194501846
拜,0.06085806194501846
