word,tfidf_score
悟空,0.6112339253077206
祖師,0.3943444679404649
猴王,0.22346186516626346
聽,0.14459297157817047
師父,0.13144815598015497
笑,0.11830334038213947
弟子,0.11830334038213947
得,0.11830334038213947
乃是,0.11173093258313173
甚麼,0.11173093258313173
教,0.10515852478412398
大王,0.10515852478412398
再,0.09201370918610847
我們,0.08544130138710072
無,0.08544130138710072
花果山,0.07886889358809299
矣,0.07886889358809299
叫,0.07886889358809299
黃,0.07229648578908524
魔王,0.07229648578908524
雲,0.07229648578908524
於,0.07229648578908524
這般,0.07229648578908524
不是,0.07229648578908524
月,0.07229648578908524
曰,0.06572407799007748
歲,0.06572407799007748
打,0.06572407799007748
後,0.06572407799007748
拜,0.06572407799007748
