word,tfidf_score
悟空,0.4151828609675339
猴王,0.28786011693749014
玉帝,0.23250240214181897
大聖,0.19375200178484914
聖,0.18821623030528203
大王,0.1771446873461478
做,0.16053737290744644
請,0.16053737290744644
天大,0.1494658299483122
得,0.14393005846874507
齊,0.13839428698917797
金星,0.1217869725504766
哪吒,0.11071542959134237
吃,0.11071542959134237
蟠桃,0.10517965811177525
且,0.10517965811177525
神通,0.10517965811177525
天王,0.10517965811177525
花果山,0.09964388663220813
拿,0.09964388663220813
後,0.09964388663220813
再,0.09410811515264102
龍王,0.09410811515264102
叫,0.09410811515264102
走,0.0885723436730739
幌,0.08303657219350678
洞,0.08303657219350678
兵器,0.08303657219350678
小,0.07750080071393967
馬,0.07750080071393967
