word,tfidf_score
難,0.6300965408021612
行者,0.20756121344071193
三藏,0.19273541248066106
八戒,0.18532251200063565
菩薩,0.18532251200063565
太宗,0.17790961152061022
於,0.17049671104058478
得,0.17049671104058478
佛,0.16308381056055937
唐僧,0.14825800960050853
沙僧,0.13343220864045766
老,0.12601930816043225
長,0.12601930816043225
我們,0.11860640768040681
師父,0.10378060672035597
聖僧,0.09636770624033053
請,0.09636770624033053
陳,0.09636770624033053
叫,0.09636770624033053
後,0.08895480576030511
遂,0.08154190528027969
俱,0.08154190528027969
四眾,0.07412900480025426
已,0.07412900480025426
年,0.06671610432022883
佛祖,0.06671610432022883
寺,0.059303203840203406
復,0.059303203840203406
御弟,0.059303203840203406
臣,0.059303203840203406
