word,tfidf_score
行者,0.5936284424859705
八戒,0.28404801817877084
得,0.15957753830268023
叫,0.15319443677057304
妖精,0.14681133523846582
老,0.1340451321742514
走,0.1308535814081978
吃,0.12766203064214418
唐僧,0.12766203064214418
拿,0.12766203064214418
師父,0.12447047987609058
沙僧,0.11489582757792977
獃子,0.11489582757792977
送,0.11170427681187617
魔,0.10851272604582256
擡,0.10851272604582256
如來,0.10532117527976896
小妖,0.10212962451371535
被,0.10212962451371535
長,0.09893807374766174
笑,0.09574652298160814
住,0.09574652298160814
老魔道,0.08936342144950093
打,0.08936342144950093
聽,0.08617187068344732
大聖,0.08617187068344732
不得,0.08298031991739373
兒,0.07340566761923291
三藏,0.07340566761923291
我們,0.0702141168531793
